POSTE,HEURE,VITESSE,DEBIT (VEH/6min)
47,23:06,59.38,20
47,23:12,58.98,12.67
47,23:18,56.97,12
47,23:24,59.22,9.5
47,23:30,59.75,13.33
47,23:36,57.5,8.83
47,23:42,56.76,10.67
47,23:48,57.06,8.83
47,23:54,58.94,10.17
50,00:00,40.83,3.5
50,00:06,49.03,4.17
50,00:12,46.08,2.83
50,00:18,49.04,4.5
50,00:24,43.25,2.67
50,00:30,47.39,3.67
50,00:36,48.35,3.83
50,00:42,46.72,2.17
50,00:48,51.11,2.17
50,00:54,47.27,4.67
50,01:00,41.94,2.33
50,01:06,39.44,1.83
50,01:12,39.44,2.17
50,01:18,50,3
50,01:24,33.33,0.83
50,01:30,24.17,1.33
50,01:36,42.5,1.5
50,01:42,40,1.33
50,01:48,41.81,2
50,01:54,31.67,1
50,02:00,31.39,1.33
50,02:06,43.33,1.33
50,02:12,42.83,1.67
50,02:18,33.89,1.33
50,02:24,40.56,2.17
50,02:30,42.5,1.5
50,02:36,47.64,2.67
50,02:42,43.33,1.17
50,02:48,22.5,1
50,02:54,19.17,0.67
50,03:00,25,1
50,03:06,48.61,1.83
50,03:12,41.94,1.5
50,03:18,45.28,1.67
50,03:24,41.67,1.5
50,03:30,35.83,1.17
50,03:36,33.83,2
50,03:42,51.17,3
50,03:48,44.17,1.83
50,03:54,45.83,1
50,04:00,46.67,1.83
50,04:06,48.33,1.17
50,04:12,36.67,1.5
50,04:18,43.83,2.67
50,04:24,48.19,3.17
50,04:30,51.28,2.83
50,04:36,52.17,4.17
50,04:42,53.83,4.33
50,04:48,53.78,6.17
50,04:54,57.01,4.5
50,05:00,54.56,3.33
50,05:06,49.74,5.5
50,05:12,52.23,7.17
50,05:18,54.54,8.33
50,05:24,54.15,7.83
50,05:30,54.12,9
50,05:36,54.11,7.17
50,05:42,52.63,14.17
50,05:48,52.28,11.67
50,05:54,53.85,12
50,06:00,50.74,9.17
50,06:06,51.45,12.33
50,06:12,49.72,15.83
50,06:18,51.11,15.5
50,06:24,48.72,20.17
50,06:30,49.38,16.67
50,06:36,48.76,21.33
50,06:42,46.87,28.17
50,06:48,47.8,33.17
50,06:54,45.36,40.17
50,07:00,44.52,42.67
50,07:06,40.29,44.83
50,07:12,36.78,35.5
50,07:18,34.02,39.33
50,07:24,33.73,39.67
50,07:30,31.75,41.33
50,07:36,27.02,37.17
50,07:42,28.45,43
50,07:48,29.13,39.5
50,07:54,27.93,35.67
50,08:00,31.39,40.33
50,08:06,30.88,38.83
50,08:12,28.64,34
50,08:18,39.37,34.67
50,08:24,39.3,45.33
50,08:30,33.92,39.33
50,08:36,32.38,38
50,08:42,31.67,32.17
50,08:48,30.76,40.5
50,08:54,31.89,35
50,09:00,35.19,47.33
50,09:06,37.16,42
50,09:12,36.67,36.5
50,09:18,35.98,33.5
50,09:24,36.02,37.33
50,09:30,34.5,31.5
50,09:36,38.66,27.67
50,09:42,35.73,34.5
50,09:48,36.07,31
50,09:54,29.39,31.67
50,10:00,38.86,28.83
50,10:06,37.9,30
50,10:12,38.85,23
